요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명
모닝약국,81,약국,310000,경기,311102,안산상록구
국민약국,81,약국,310000,경기,311200,평택시
태평온누리약국,81,약국,230000,대구,230100,대구달성군
서정굿모닝약국,81,약국,310000,경기,311200,평택시
광명당약국,81,약국,210000,부산,210015,부산사상구
코스코약국,81,약국,210000,부산,210004,부산진구
오복당약국,81,약국,210000,부산,210015,부산사상구
서원약국,81,약국,210000,부산,210003,부산동래구
한빛메디칼약국,81,약국,210000,부산,210013,부산연제구
굿모닝약국,81,약국,210000,부산,210008,부산중구
미소약국,81,약국,210000,부산,210004,부산진구
보은약국,81,약국,210000,부산,210005,부산북구
수강약국,81,약국,210000,부산,210011,부산금정구
밀알약국,81,약국,110000,서울,110024,강북구
나아약국,81,약국,110000,서울,110002,강동구
솔모루약국,81,약국,310000,경기,312800,포천시
드림약국,81,약국,230000,대구,230005,대구수성구
늘푸른약국,81,약국,380000,경남,380100,김해시
성모약국,81,약국,310000,경기,310602,수원장안구
문산약국,81,약국,310000,경기,312200,파주시
청주상록약국,81,약국,330000,충북,330104,청주서원구
안성보룡약국,81,약국,310000,경기,312400,안성시
새서울약국,81,약국,330000,충북,330006,음성군
후문약국,81,약국,110000,서울,110011,성동구
비타민약국,81,약국,210000,부산,210003,부산동래구
동동약국,81,약국,380000,경남,381100,양산시
다온약국,81,약국,220000,인천,220001,인천미추홀구
행복한세상 우리들약국,81,약국,310000,경기,312600,광주시
새중앙약국,81,약국,380000,경남,381100,양산시
1(일)약국,81,약국,310000,경기,310701,안양만안구
상호약국,81,약국,230000,대구,230006,대구중구
남천약국,81,약국,330000,충북,330300,제천시
문전약국,81,약국,230000,대구,230005,대구수성구
청송약국,81,약국,310000,경기,312300,김포시
정다운약국,81,약국,310000,경기,311200,평택시
건강나라약국,81,약국,350000,전북,350401,전주완산구
솔약국,81,약국,230000,대구,230005,대구수성구
송우늘푸른약국,81,약국,310000,경기,312800,포천시
백세약국,81,약국,350000,전북,350300,익산시
월드중앙약국,81,약국,110000,서울,110006,도봉구
동대전약국,81,약국,250000,대전,250004,대전동구
메디탑약국,81,약국,220000,인천,220005,인천서구
온누리성심약국,81,약국,310000,경기,310602,수원장안구
하마약국,81,약국,310000,경기,312500,화성시
가나다약국,81,약국,340000,충남,340201,천안서북구
명성약국,81,약국,230000,대구,230004,대구서구
대웅약국,81,약국,310000,경기,311600,의왕시
죽곡탑약국,81,약국,230000,대구,230100,대구달성군
해피라움약국,81,약국,410000,세종시,410000,세종시
미소담약국,81,약국,310000,경기,310300,부천시
메디팜한대약국,81,약국,310000,경기,311102,안산상록구
국제온누리약국,81,약국,360000,전남,360700,광양시
수영약국,81,약국,230000,대구,230004,대구서구
공도약국,81,약국,310000,경기,312400,안성시
미래약국,81,약국,340000,충남,340201,천안서북구
한림약국,81,약국,380000,경남,380100,김해시
원앙약국,81,약국,250000,대전,250003,대전서구
산들약국,81,약국,250000,대전,250002,대전대덕구
영림약국,81,약국,110000,서울,110018,송파구
삼성약국,81,약국,390000,제주,390100,서귀포시
성심약국,81,약국,220000,인천,220005,인천서구
신약국,81,약국,230000,대구,230007,대구달서구
약손온누리약국,81,약국,310000,경기,312300,김포시
메디팜미래로약국,81,약국,110000,서울,110002,강동구
조광약국,81,약국,110000,서울,110003,강서구
해든아침약국,81,약국,110000,서울,110020,양천구
위드팜천사약국,81,약국,110000,서울,110002,강동구
세종프라자약국,81,약국,310000,경기,310402,성남중원구
온누리목화약국,81,약국,310000,경기,311600,의왕시
푸른약국,81,약국,250000,대전,250004,대전동구
새모범약국,81,약국,310000,경기,312002,용인수지구
보람약국,81,약국,260000,울산,260001,울산남구
중촌약국,81,약국,250000,대전,250005,대전중구
남대천약국,81,약국,320000,강원,320100,강릉시
아페약국,81,약국,360000,전남,360500,여수시
차약국,81,약국,230000,대구,230005,대구수성구
제일약국,81,약국,360000,전남,360001,강진군
메디칼정문약국,81,약국,220000,인천,220003,인천부평구
